gym_id,gym_name,region,gym_size,sku,product_name,category,vendor,par_level,on_hand,avg_weekly_sales,weeks_of_supply,stock_status,cost,retail,inventory_value_cost,inventory_value_retail,days_since_last_receipt
MOV-001,Movement Baker,Colorado,Large,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,15,13,2.4,5.5,In Stock,45.0,89.95,585.0,1169.35,39
MOV-001,Movement Baker,Colorado,Large,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,15,10,1.6,6.4,In Stock,50.0,99.95,500.0,999.5,4
MOV-001,Movement Baker,Colorado,Large,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,15,8,3.2,2.5,Low,95.0,189.95,760.0,1519.6,53
MOV-001,Movement Baker,Colorado,Large,SH-004,Evolv Defy,Climbing Shoes,Evolv,15,7,2.6,2.7,Low,40.0,79.95,280.0,559.65,39
MOV-001,Movement Baker,Colorado,Large,SH-005,Evolv Shaman,Climbing Shoes,Evolv,15,7,2.2,3.2,Low,85.0,169.95,595.0,1189.65,17
MOV-001,Movement Baker,Colorado,Large,SH-006,Scarpa Instinct VS,Climbing Shoes,Scarpa,15,13,3.2,4.1,In Stock,90.0,179.95,1170.0,2339.35,7
MOV-001,Movement Baker,Colorado,Large,SH-007,Black Diamond Momentum,Climbing Shoes,Black Diamond,15,13,1.7,7.8,In Stock,42.0,84.95,546.0,1104.35,48
MOV-001,Movement Baker,Colorado,Large,HR-001,Petzl Corax,Harnesses,Petzl,12,10,2.0,5.0,In Stock,32.0,64.95,320.0,649.5,13
MOV-001,Movement Baker,Colorado,Large,HR-002,Black Diamond Momentum Harness,Harnesses,Black Diamond,12,1,1.2,0.8,Critical Low,30.0,59.95,30.0,59.95,18
MOV-001,Movement Baker,Colorado,Large,HR-003,Petzl Sitta,Harnesses,Petzl,12,10,0.9,11.4,In Stock,70.0,139.95,700.0,1399.5,16
MOV-001,Movement Baker,Colorado,Large,HR-004,Mammut Ophir 4 Slide,Harnesses,Mammut,12,8,1.6,4.9,In Stock,35.0,69.95,280.0,559.6,57
MOV-001,Movement Baker,Colorado,Large,CH-001,FrictionLabs Unicorn Dust,Chalk,FrictionLabs,37,25,3.1,8.0,In Stock,10.0,21.95,250.0,548.75,12
MOV-001,Movement Baker,Colorado,Large,CH-002,FrictionLabs Gorilla Grip,Chalk,FrictionLabs,37,43,4.9,8.8,In Stock,12.0,24.95,516.0,1072.85,37
MOV-001,Movement Baker,Colorado,Large,CH-003,Metolius Super Chalk,Chalk,Metolius,37,36,7.5,4.8,In Stock,4.0,9.95,144.0,358.2,59
MOV-001,Movement Baker,Colorado,Large,CH-004,Black Diamond White Gold,Chalk,Black Diamond,37,27,4.4,6.2,In Stock,5.0,11.95,135.0,322.65,45
MOV-001,Movement Baker,Colorado,Large,BD-001,Petzl GriGri+,Belay Devices,Petzl,7,6,0.9,7.0,In Stock,55.0,109.95,330.0,659.7,27
MOV-001,Movement Baker,Colorado,Large,BD-002,Black Diamond ATC-XP,Belay Devices,Black Diamond,7,2,1.1,1.8,Critical Low,12.0,24.95,24.0,49.9,32
MOV-001,Movement Baker,Colorado,Large,BD-003,Mammut Smart 2.0,Belay Devices,Mammut,7,6,0.6,10.3,In Stock,15.0,29.95,90.0,179.7,55
MOV-001,Movement Baker,Colorado,Large,CB-001,Petzl Attache,Carabiners,Petzl,7,6,0.9,6.4,In Stock,8.0,16.95,48.0,101.7,24
MOV-001,Movement Baker,Colorado,Large,CB-002,Black Diamond RockLock,Carabiners,Black Diamond,7,5,1.1,4.7,In Stock,7.0,14.95,35.0,74.75,35
MOV-001,Movement Baker,Colorado,Large,CB-003,Petzl Djinn Quickdraw,Carabiners,Petzl,7,1,1.2,0.8,Critical Low,12.0,24.95,12.0,24.95,38
MOV-001,Movement Baker,Colorado,Large,CB-101,Metolius Competition Chalk Bag,Chalk Bags,Metolius,12,7,1.3,5.3,In Stock,8.0,17.95,56.0,125.65,26
MOV-001,Movement Baker,Colorado,Large,CB-102,Mammut Gym Print Chalk Bag,Chalk Bags,Mammut,12,8,2.1,3.8,Low,10.0,21.95,80.0,175.6,8
MOV-001,Movement Baker,Colorado,Large,CB-103,Black Diamond Mojo Chalk Bag,Chalk Bags,Black Diamond,12,7,2.0,3.6,Low,9.0,19.95,63.0,139.65,1
MOV-001,Movement Baker,Colorado,Large,RP-001,Beal Stinger III 9.4mm,Ropes,Beal,7,1,1.4,0.7,Critical Low,95.0,189.95,95.0,189.95,14
MOV-001,Movement Baker,Colorado,Large,RP-002,Mammut Crag Classic 9.8mm,Ropes,Mammut,7,4,0.7,5.3,In Stock,80.0,159.95,320.0,639.8,12
MOV-001,Movement Baker,Colorado,Large,AP-001,prAna Stretch Zion Pant,Apparel,prAna,15,11,1.8,6.1,In Stock,40.0,85.0,440.0,935.0,13
MOV-001,Movement Baker,Colorado,Large,AP-002,prAna Bridger Jean,Apparel,prAna,15,9,2.6,3.5,Low,35.0,75.0,315.0,675.0,36
MOV-001,Movement Baker,Colorado,Large,AP-003,Movement Logo Tee,Apparel,prAna,15,18,2.1,8.6,In Stock,8.0,25.0,144.0,450.0,52
MOV-001,Movement Baker,Colorado,Large,TR-001,Metolius Simulator 3D,Training,Metolius,7,4,1.2,3.2,Low,20.0,44.95,80.0,179.8,37
MOV-001,Movement Baker,Colorado,Large,TR-002,Metolius Rock Rings,Training,Metolius,7,7,1.2,6.0,In Stock,15.0,34.95,105.0,244.65,25
MOV-002,Movement RiNo,Colorado,Large,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,15,13,2.6,5.0,In Stock,45.0,89.95,585.0,1169.35,37
MOV-002,Movement RiNo,Colorado,Large,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,15,13,2.6,5.0,In Stock,50.0,99.95,650.0,1299.35,24
MOV-002,Movement RiNo,Colorado,Large,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,15,0,3.0,0.0,Out of Stock,95.0,189.95,0.0,0.0,40
MOV-002,Movement RiNo,Colorado,Large,SH-004,Evolv Defy,Climbing Shoes,Evolv,15,7,1.9,3.6,Low,40.0,79.95,280.0,559.65,16
